ensembl,gene,new_clumn
ENSMUSG00000062296,Trank1,Sept_In.I
ENSMUSG00000064293,Cntn4,Sept_In.I
ENSMUSG00000097451,Rian,Sept_In.I
ENSMUSG00000018474,Chd3,TNoS_Ex.A
ENSMUSG00000020297,Nsg2,TNoS_Ex.A
ENSMUSG00000021301,Hecw1,TNoS_Ex.A
ENSMUSG00000021700,Rab3c,TNoS_Ex.A
ENSMUSG00000022212,Cpne6,TNoS_Ex.A
ENSMUSG00000023236,Scg5,TNoS_Ex.A
ENSMUSG00000024897,Apba1,TNoS_Ex.A
ENSMUSG00000025104,Hdgfl3,TNoS_Ex.A
ENSMUSG00000027419,Pcsk2,TNoS_Ex.A
ENSMUSG00000027546,Atp9a,TNoS_Ex.A
ENSMUSG00000028524,Sgip1,TNoS_Ex.A
ENSMUSG00000029516,Cit,TNoS_Ex.A
ENSMUSG00000033676,Gabrb3,TNoS_Ex.A
ENSMUSG00000035653,Lrfn5,TNoS_Ex.A
ENSMUSG00000037386,Rims2,TNoS_Ex.A
ENSMUSG00000039419,Cntnap2,TNoS_Ex.A
ENSMUSG00000040037,Negr1,TNoS_Ex.A
ENSMUSG00000040785,Ttc3,TNoS_Ex.A
ENSMUSG00000046447,Camk2n1,TNoS_Ex.A
ENSMUSG00000056755,Grm7,TNoS_Ex.A
ENSMUSG00000061911,Myt1l,TNoS_Ex.A
ENSMUSG00000062296,Trank1,TNoS_Ex.A
ENSMUSG00000064293,Cntn4,TNoS_Ex.A
ENSMUSG00000066189,Cacng3,TNoS_Ex.A
ENSMUSG00000097451,Rian,TNoS_Ex.A
ENSMUSG00000008658,Rbfox1,TT.IG.SH_Ex.C
ENSMUSG00000010086,Rnf112,TT.IG.SH_Ex.C
ENSMUSG00000018474,Chd3,TT.IG.SH_Ex.C
ENSMUSG00000019943,Atp2b1,TT.IG.SH_Ex.C
ENSMUSG00000021301,Hecw1,TT.IG.SH_Ex.C
ENSMUSG00000021670,Hmgcr,TT.IG.SH_Ex.C
ENSMUSG00000023236,Scg5,TT.IG.SH_Ex.C
ENSMUSG00000024268,Celf4,TT.IG.SH_Ex.C
ENSMUSG00000024736,Tmem132a,TT.IG.SH_Ex.C
ENSMUSG00000024897,Apba1,TT.IG.SH_Ex.C
ENSMUSG00000025104,Hdgfl3,TT.IG.SH_Ex.C
ENSMUSG00000027419,Pcsk2,TT.IG.SH_Ex.C
ENSMUSG00000027546,Atp9a,TT.IG.SH_Ex.C
ENSMUSG00000028176,Lrrc7,TT.IG.SH_Ex.C
ENSMUSG00000029053,Prkcz,TT.IG.SH_Ex.C
ENSMUSG00000030102,Itpr1,TT.IG.SH_Ex.C
ENSMUSG00000030839,Sergef,TT.IG.SH_Ex.C
ENSMUSG00000031099,Smarca1,TT.IG.SH_Ex.C
ENSMUSG00000033676,Gabrb3,TT.IG.SH_Ex.C
ENSMUSG00000034958,Atcay,TT.IG.SH_Ex.C
